Label,2026-02
BJA,17591.00
CDPO,37677.00
CV,36622.00
JLR,3410.00
KIA,4456.00
LUCENEC,48439.00
MMA,213337.00
OPEL,11520.00
PIP,8931.00
PZ1D,0.00
VOLVO,105874.00

