Label,2026-01-26,2026-02-02,2026-02-09,2026-02-16,2026-02-23
CDPO - ASSY,5642.00,5287.00,5287.00,3535.00,5287.00
JLR - ASSY,406.00,406.00,508.00,305.00,508.00
KIA - ASSY,1029.00,514.00,514.00,309.00,514.00
MMA - ASSY,29597.00,32318.00,33581.00,21640.00,38225.00
Opel - ASSY,1713.00,1739.00,1739.00,1027.00,1713.00
Volvo - ASSY,18806.00,20185.00,20512.00,12406.00,19566.00

