Label,2026-02-01,2026-02-02,2026-02-03,2026-02-04,2026-02-05,2026-02-06,2026-02-07,2026-02-08,2026-02-09,2026-02-10,2026-02-11,2026-02-12,2026-02-13,2026-02-14,2026-02-15,2026-02-16,2026-02-17,2026-02-18,2026-02-19,2026-02-20,2026-02-21,2026-02-22,2026-02-23,2026-02-24,2026-02-25,2026-02-26,2026-02-27,2026-02-28
CDPO - ASSY,0.00,847.00,846.00,846.00,846.00,846.00,0.00,0.00,1058.00,1058.00,1057.00,1057.00,1057.00,0.00,0.00,707.00,707.00,707.00,707.00,707.00,0.00,0.00,1058.00,1058.00,1057.00,1057.00,1057.00,0.00
JLR - ASSY,0.00,82.00,81.00,81.00,81.00,81.00,0.00,0.00,102.00,102.00,102.00,101.00,101.00,0.00,0.00,61.00,61.00,61.00,61.00,61.00,0.00,0.00,102.00,102.00,102.00,101.00,101.00,0.00
KIA - ASSY,0.00,83.00,82.00,82.00,82.00,82.00,0.00,0.00,103.00,103.00,103.00,103.00,102.00,0.00,0.00,62.00,62.00,62.00,62.00,61.00,0.00,0.00,103.00,103.00,103.00,103.00,102.00,0.00
MMA - ASSY,0.00,4993.00,4993.00,4993.00,4993.00,4993.00,0.00,0.00,6717.00,6716.00,6716.00,6716.00,6716.00,0.00,0.00,4045.00,4045.00,4045.00,4045.00,4044.00,0.00,0.00,6902.00,6902.00,6901.00,6901.00,6901.00,0.00
Opel - ASSY,0.00,279.00,278.00,278.00,278.00,278.00,0.00,0.00,348.00,348.00,348.00,348.00,347.00,0.00,0.00,206.00,206.00,205.00,205.00,205.00,0.00,0.00,343.00,343.00,343.00,342.00,342.00,0.00
Volvo - ASSY,0.00,3271.00,3270.00,3270.00,3270.00,3270.00,0.00,0.00,4096.00,4096.00,4096.00,4096.00,4096.00,0.00,0.00,2578.00,2578.00,2578.00,2578.00,2577.00,0.00,0.00,4179.00,4179.00,4178.00,4178.00,4178.00,0.00

