prod_line,project
H_FG,BJA
B_FG,BR223 - SEW
C_FG,CDPO - ASSY
Z_FG,CDPO - SEW
0000,Pre-production
F_FG,FIAT - SEW
K_FG,KIA - ASSY
Q_FG,KIA - SEW
U_FG,MAN
M_FG,MMA - ASSY
N_FG,MMA - SEW
O_FG,OV5X - ASSY
S_FG,OV5X - SEW
P_FG,PO426 - SEW
G_FG,PZ1D
R_FG,Renault
E_FG,SCANIA
A_FG,VOLVO- SEW
V_FG,VOLVO- ASSY
T_FG,P13A
J_FG,JLR - SEW
L_FG,JLR - ASSY
OBS,OTHER
